Username;Rank;Title;Artist;Genre;Genre;Album;Number of Plays
EzI6psdcyE;8;The World We Knew (Over and Over);Frank Sinatra;Jazz;JAZZ;The World We Knew;200
ewMPQm7LCw;1;You're the Inspiration;Chicago;Rock;ROCK;Chicago 17;50
RDXRSUA19I;10;See You Again;Tyler the Creator Ft Kali Uchis;Hip Hop;HIP HOP;Flower Boy;109
6ue4Mbvoft;10;m.A.D.D city;Kendrick Lamar, MC Eiht;Hip Hop;HIP HOP;Good Kid, M.A.D.D City;500
RDXRSUA19I;9;She;Tyler the creator ;Hip Hop;HIP HOP;Goblin;106
EzI6psdcyE;3;Feel Good Inc.;Gorillaz, De La Soul;Rock;ROCK;Demon Days;150
ewMPQm7LCw;2;Carry on Wayward Son;Kansas;Rock;ROCK;Leftoverture;40
RDXRSUA19I;8;Pink + White;Frank Ocean;Pop;POP;Blonde;71
EzI6psdcyE;2;On Melancholy Hill;Gorillaz;Pop;POP;Plastic Beach;400
8AxIDcHePL;1;Poke the GOAT;Gideon;pop;POP;n/a;100
6ue4Mbvoft;9;Fall in Line;Yung Rare, Kxng;Hip Hop;HIP HOP;Fall in Line;700
RDXRSUA19I;7;Above the Chinese Restaurant ;Laufey;Alternative;ALTERNATIVE;Everything I know about love;80
6ue4Mbvoft;8;Moshi Moshi;Yung Rare, Pyrxciter, Young zetton;Hip Hop;HIP HOP;Moshi Moshi;600
EzI6psdcyE;9;Alien Blues;Vundabar;Rock;ROCK;Gawk;100
RDXRSUA19I;6;Circles;Pierce the Veil;Rock;ROCK;Misadventures;80
ewMPQm7LCw;4;Piano Man;Billy Joel;Rock;ROCK;Piano Man;50
EzI6psdcyE;1;Unsainted;Slipknot;Metal;METAL;We Are Not Your Kind;500
RDXRSUA19I;5;Bulls in the Bronx;Pierce the Veil;Rock;ROCK;Collide With the Sky;80
sIpTXaxH0i;2;Ghost Town;Kanye West;R&B;R&B;YE;300
EzI6psdcyE;4;Nero Forte;Slipknot;Metal;METAL;We Are Not Your Kind;300
6ue4Mbvoft;7;I duckinf hatw you;Ghostemane, Parv0;Metal;METAL;the EP;600
ewMPQm7LCw;5;The Longest Time;Billy Joel;Rock;ROCK;An Innocent Man;60
RDXRSUA19I;5;Decode;Paramore;Alternative;ALTERNATIVE;Twilight motion Picture Sound track (Paramore);60
6ue4Mbvoft;6;My Axe;Insane Clown Posse;Miscellaneous;MISCELLANEOUS;Jugganauts;600
EzI6psdcyE;5;Die With A Smile;Bruno Mars, Lady Gaga;Rock;ROCK;Die With A Smile (It was a single);6
RDXRSUA19I;4;Lover, You Should've Come Over;Jeff Buckley ;Rock;ROCK;Grace;100
TEHqbHLFqx;1;Glorious;Macklemore;Pop;POP;Single;300
6ue4Mbvoft;5;Fallout 76: Ring of Fire;Copilot Music + Sound, Spank;Country;COUNTRY;Fallout 76;600
RDXRSUA19I;3;Bewitched;Laufey;Jazz;JAZZ;Bewitched;80
EzI6psdcyE;7;Emerald Star;Lord Huron;Indie;INDIE;Vide Noir;400
6ue4Mbvoft;4;Till I Collapse;Eminem, Nate Dogg;Hip Hop;HIP HOP;The Eminem Show;700
TEHqbHLFqx;2;God Needs The Devil;Jonah Kagen;Country;COUNTRY;Black Dress;270
EzI6psdcyE;10;The Night We Met;Lord Huron;Indie;INDIE;Strange Trails;350
RDXRSUA19I;2;If I Ever Fall In Love again;Shai;Alternative;ALTERNATIVE;If I Ever Fall In Love Again;40
6ue4Mbvoft;3;Clint Eastwood;Gorillaz, Del The Funky Homosapien;Rock;ROCK;Gorillaz;700
8AxIDcHePL;2;I Turned 3rd life into a song ;Evil Anvil;pop;POP;n/a;50
TEHqbHLFqx;3;Breathe;Olly Alexander;Alternative;ALTERNATIVE;Communion;200
ewMPQm7LCw;6;Bohemian Rhapsody;Queen;Rock;ROCK;A Night at the Opera;85
RDXRSUA19I;1;Hush;The Mar√≠as;Alternative;ALTERNATIVE;CINEMA;30
6ue4Mbvoft;2;Give and Take;Poor Man's Poison;Country;COUNTRY;In the End;800
EzI6psdcyE;6;Just The Way You Are;Bruno Mars;Pop;POP;Doo-Wops and Hooligans;200
TEHqbHLFqx;4;Figure You Out;VOILA;Alternative;ALTERNATIVE;Single;150
ewMPQm7LCw;7;Don't Stop Believin';Journey;Rock;ROCK;Escape;80
sIpTXaxH0i;3;NHH;Kanye West;Hip Hop;HIP HOP;NHH;150
ewMPQm7LCw;8;Hey There Delilah;Plain White T's;Pop;POP;All That We Needed;60
TEHqbHLFqx;5;Can't Hold Us;Macklemore;Pop;POP;The Heist;250
6ue4Mbvoft;1;UGA UGA BAM BAM;The Butcher Sisters;Metal;METAL;UGA UGA BAM BAM;800
TEHqbHLFqx;6;Thrift Shop;Macklemore;Pop;POP;The Heist;250
8AxIDcHePL;3;A Little Theorizing ;the stupendium;Hip Hop;HIP HOP;n/a;50
TEHqbHLFqx;7;Warriors;Imagine Dragons;Pop;POP;Rock;150
TEHqbHLFqx;8;How It's Done;HUNTR/X;K-pop;K-POP;KPop Demon Hunters;80
sIpTXaxH0i;4;Runaway;Kanye West;R&B;R&B;My Beautiful Dark Twisted Fantasy;300
ewMPQm7LCw;10;You Are The Reason;Calum Scott;Pop;POP;Only Human;40
TEHqbHLFqx;9;Devil in Disguise;Marino;Alternative;ALTERNATIVE;Single;120
TEHqbHLFqx;10;Still Hot;Connor Price;Hip Hop;HIP HOP;Till Next Time;140
8AxIDcHePL;4;We Didn't Start the Fire;Billy Joel ;pop;POP;Storm Front;100
sIpTXaxH0i;5;Kilby Girl;The Backseat Lovers;Alternative;ALTERNATIVE;When We Were Friends;120
sIpTXaxH0i;6;Homecoming;Kanye West;R&B;R&B;Graduation;400
wahoWw4LEd;1;Lovers;Kiltro;Rock;ROCK;Creatures of Habit;52
wahoWw4LEd;2;Neighborhood #1 (Tunnels);Arcade Fire;Indie;INDIE;Funeral;65
sIpTXaxH0i;7;Again;Fetty Wap;Hip Hop;HIP HOP;It's Like It's 2015 Again;120
wahoWw4LEd;3;Light Rail;Lena Raine;EDM;EDM;Oneknowing;20
wahoWw4LEd;4;The Bug Collector;Haley Heynderickx;Country;COUNTRY;I Need to Start a Garden;40
sIpTXaxH0i;8;Lego NINJAGO Ghost Whip;The Fold;Pop;POP;Lego NINJAGO Ghost Whip;80
vod4PjYK2S;1;Kingslayer;Caster;EDM;EDM;Kingslayer;150
vod4PjYK2S;2;Isolation;Mewnlight Rose;EDM;EDM;Isolation;60
vod4PjYK2S;3;Invert;Geoplex;EDM;EDM;Invert;60
wahoWw4LEd;5;Plasticities;Andrew Bird;Indie;INDIE;Armchair Apocrypha;25
qruj9FNwow;1;Live and Let Die;Wings;Rock;ROCK;Red Rose Speedway;175
vod4PjYK2S;4;Battle for Eternity;Everen Maxwell;EDM;EDM;Battle for Eternity;80
vod4PjYK2S;5;Pirate Afterparty;Teminite;EDM;EDM;Raise the Black Flag;200
qruj9FNwow;2;Deutschland;Rammstein;Metal;METAL;Rammstein;85
vod4PjYK2S;6;The Master;Teminite;EDM;EDM;The Master;150
wahoWw4LEd;6;Actor Out of Work;St. Vincent;Indie;INDIE;Actor;30
sIpTXaxH0i;9;Stars Over Lake Verity;Go Ichinose;Classical;CLASSICAL;Time & Space;100
vod4PjYK2S;7;Firepower;Teminite;EDM;EDM;Firepower;120
qruj9FNwow;3;Rockin Down the Highway;The Doobie Brothers;Rock;ROCK;Toulouse Street;75
vod4PjYK2S;8;A Day at Sea;Everen Maxwell;EDM;EDM;A Day at Sea;70
qruj9FNwow;4;Yellow Submarine;The Beatles;Rock;ROCK;Revolver;95
vod4PjYK2S;9;Gold;Xtrullor;EDM;EDM;Gold;50
qruj9FNwow;5;Saginaw, Michigan;Johnny Cash;Country;COUNTRY;Bootleg Vol. I: Personal File;75
vod4PjYK2S;10;Supercharge;MDK;EDM;EDM;Supercharge;60
qruj9FNwow;6;Selene;Imagine Dragons;Rock;ROCK;Hell and Silence EP;205
qruj9FNwow;7;Now and Then;The Beatles;Rock;ROCK;Now and Then;90
sIpTXaxH0i;10;Find Me In Your Dreams;Ace of Hearts;Alternative;ALTERNATIVE;Frozen In Time;50
wahoWw4LEd;7;Of Age;Yvette Young;Rock;ROCK;Acoustics;45
qruj9FNwow;8;Turn the Lights Back On;Billy Joel;Pop;POP;Turn the Lights Back On;75
qruj9FNwow;9;Ramble On;Led Zeppelin;Rock;ROCK;Led Zeppelin II;45
wahoWw4LEd;8;Pieces Of You;Islands;Indie;INDIE;Arm's Way;55
qruj9FNwow;10;Be Concerned;Twenty One Pilots;Rock;ROCK;Regional at Best;35
mBz9FO5uqn;5;ErdbeerKuchen;AnnenMayKantereit;Indie;INDIE;Es ist Abend und wir sitzen bei mir;100
mBz9FO5uqn;4;Ich geh heut nicht mehr tanzen;AnnenMayKantereit;Indie;INDIE;Schlagschatten;100
wahoWw4LEd;9;Left Alone;Fiona Apple;Pop;POP;The Idler Wheel...;50
mBz9FO5uqn;6;Senses;MICO;Indie;INDIE;Internet hometown hero;50
mBz9FO5uqn;7;reckless driving;Lizzy McAlpine, Ben Kessler;Indie;INDIE;five seconds flat;80
wahoWw4LEd;10;CANDLEBURN - Dorm Demo;Rabbitology;Alternative;ALTERNATIVE;CANDLEBURN (Dorm Demo);20
mBz9FO5uqn;10;Ship in a Bottle;fin;Indie;INDIE;Lost at Sea;50
8AxIDcHePL;6;Overwhelmed and underfed;del chupenebray;Classical;CLASSICAL;Hungry Hermits;30
mBz9FO5uqn;9;Poster Boy;Lyn Lapid;Indie;INDIE;to love in the 21st century;120
mBz9FO5uqn;2;Frankenstein;Claire Rosinkranz;Indie;INDIE;Frankenstein;80
mBz9FO5uqn;1;i'm too pretty for this;Claire Rosinkranz;Indie;INDIE;i'm too pretty for this;50
8AxIDcHePL;7;Pigstep;Lena Raine;EDM;EDM;n/a;50
8AxIDcHePL;8;still alive;Ellen McLain;pop;POP;the Orange box;50
8AxIDcHePL;9;Win It All;Derivakat;pop;POP;win it all;50
8AxIDcHePL;10;Welcome to the internet ;Bo Burnham;pop;POP;inside ;50
dBv2mfmjnH;1;Paranoid Android;Radiohead;Alternative;ALTERNATIVE;OK Computer;400
dBv2mfmjnH;2;Jigsaw Falling Into Place;Radiohead;Alternative;ALTERNATIVE;In Rainbows;350
dBv2mfmjnH;3;Losing My Religion;R.E.M.;Alternative;ALTERNATIVE;Out Of Time;150
dBv2mfmjnH;4;Black Hole Sun;Soundgarden;Alternative;ALTERNATIVE;Superunknown;150
dBv2mfmjnH;5;(Don't Fear) The Reaper;Blue Oyster Cult;Rock;ROCK;Agents of Fortune;200
dBv2mfmjnH;6;Miss You;The Rolling Stones;EDM;EDM;Some Girls;150
dBv2mfmjnH;7;I'm Not In Love;10cc;Rock;ROCK;The Original Soundtrack;100
dBv2mfmjnH;8;Everything She Wants;WHAM!;EDM;EDM;Make It Big;100
dBv2mfmjnH;9;I Wouldn't Want to Be Like You;The Alan Parsons Project;Rock;ROCK;I Robot;150
dBv2mfmjnH;10;I Keep Forgettin' (Every Time You're Near);Michael McDonald;R&B;R&B;If That's What It Takes;150
hcrCRe2evs;1;Big Shot;Toby Fox;OST;OST;DELTARUNE Chapter 2 (Original Game Soundtrack);600
hcrCRe2evs;2;All My Life;Foo Fighters;Alternative;ALTERNATIVE;One by One;50
hcrCRe2evs;3;Seven Nation Army;The White Stripes;Alternative;ALTERNATIVE;Elephant;300
hcrCRe2evs;4;Somebody Told Me;The Killers;Alternative;ALTERNATIVE;Hot Fuss;100
hcrCRe2evs;5;Duck and Run;3 Doors Down;Alternative;ALTERNATIVE;The Better Life;75
hcrCRe2evs;6;Believer;Imagine Dragons;Rock;ROCK;Evolve;400
hcrCRe2evs;7;Centuries;Fall Out Boy;Rock;ROCK;American Beauty/American Psycho;500
hcrCRe2evs;8;Gravity Falls Main Theme;Brad Breeck;OST;OST;Gravity Falls (Original Soundtrack);350
hcrCRe2evs;9;White and Nerdy;"""Weird Al"" Yankovic";Rock;ROCK;Straight Outta Lynwood;150
hcrCRe2evs;10;I Ran (So Far Away);A Flock of Seagulls;Pop;POP;A Flock of Seagulls;100
1feL83RI80;1;Cruisin' for a Bluesin';Maynard Ferguson;Jazz;JAZZ;Footpath Cafe;120
1feL83RI80;2;Night Flight;Sammy Nestico;Jazz;JAZZ;No Time Like the Present;90
1feL83RI80;3;Night in Tunisia;Jesus Molina;Jazz;JAZZ;Departing;50
1feL83RI80;4;One Vision;Queen;Rock;ROCK;A Kind of Magic ;20
1feL83RI80;5;The First Circle;Bob Curnow's L.A. Big Band;Jazz;JAZZ;Music of Pat Metheny & Lyle Mays;50
1feL83RI80;6;Sir Duke;Stevie Wonder;R&B;R&B;Songs in the Key of Life;50
1feL83RI80;7;Tiger of San Pedro;John La Barbera Big Band;Jazz;JAZZ;On the Wild Side;100
1feL83RI80;8;Indra;Stan Kenton;Jazz;JAZZ;Live at Butler University;30
d6b4nyADX1;10;Bruddanem;JID;Hip hop;HIP HOP;The Forever Story;100
1feL83RI80;9;Not Yet;Michel Camilo;Jazz;JAZZ;Once More Once;70
1feL83RI80;10;Coconut Champagne;Maynard Ferguson;Jazz;JAZZ;Live From San Fransico;20
d6b4nyADX1;9;Redbone;Childish Gambino;R&B;R&B;"""Awaken, My Love!""";60
d6b4nyADX1;8;See You Again;Tyler the Creator;Hip hop;HIP HOP;Flower Boy;100
d6b4nyADX1;7;Scenes from an Italian Restaurant;Billy Joel;Rock;ROCK;The Stranger;60
d6b4nyADX1;6;Wholeheartedly;JID;hip hop;HIP HOP;God Does Like Ugly;35
d6b4nyADX1;5;DARE;Gorillaz;Alternative;ALTERNATIVE;Demon Days;45
d6b4nyADX1;4;Digital Love;Daft Punk;EDM;EDM;Discovery;30
d6b4nyADX1;3;Alright;Kendrick Lamar;hip hop;HIP HOP;To Pimp a Butterfly;150
d6b4nyADX1;2;Ivy;Frank Ocean;Pop;POP;Blonde;100
d6b4nyADX1;1;GONE GONE / THANKYOU;Tyler the Creator;hip hop;HIP HOP;IGOR;150
aJqyRoyI27;5;echoes;xxsagexx;EDM;EDM;24-Sep;250
RYzSjSc0fl;1;Kawakinoameku;Minami;Pop;POP;Kawaki wo Ameku;250
RYzSjSc0fl;2;Fukashigi no Carte;Kubo Yurika, Minase Inori, Seto Asami, Tanezaki Atsumi, Touyama Nao, Uchida Maaya;Pop;POP;N/A;200
RYzSjSc0fl;3;Green Jade;ChouCho;Pop;POP;N/A;227
RYzSjSc0fl;4;Memento;nonoc;Pop;POP;N/A;300
RYzSjSc0fl;5;Charles;Ado;Pop;POP;Charles;130
RYzSjSc0fl;6;Gira Gira;Ado;Pop;POP;Ky≈çgen;150
RYzSjSc0fl;7;Elf;Ado;Pop;POP;Elf;50
RYzSjSc0fl;8;Backlight;Ado;Pop;POP;UTA'S SONGS ONE PIECE FILM RED;70
RYzSjSc0fl;9;Ussewa;Ado;Pop;POP;Ky≈çgen;110
RYzSjSc0fl;10;Idol;YOASOBI;Pop;POP;The Book 3;350
PaA281p1ET;2;Through The Wire;Kanye West;Hip hop;HIP HOP;The College Dropout;60
PaA281p1ET;1;All Of The Lights;Kanye West;Hip hop;HIP HOP;My Beautiful Dark Twisted Fantasy;80
PaA281p1ET;3;Homecoming;Kanye West;Hip hop;HIP HOP;Graduation;60
6nNNXGgKHD;10;Beaches;beabadoobee;Pop;POP;This Is How Tomorrow Moves;10
PaA281p1ET;4;Welcome Home, Son;Radical Face;Alternative;ALTERNATIVE;Ghost;15
6nNNXGgKHD;9;yes, and?;Ariana Grande;Pop;POP;eternal sunshine;9
PaA281p1ET;5;Promiscuous;Nelly Furtado;R&B;R&B;Loose;30
6nNNXGgKHD;8;Circles;Pierce the Veil;Rock;ROCK;Misadventures;8
6nNNXGgKHD;7;Busy Woman;Sabrina Carpenter;Pop;POP;Short n' Sweet (Deluxe);7
PaA281p1ET;6;Rockstar;DaBaby;Hip hop;HIP HOP;Blame It On Baby;70
PaA281p1ET;7;Hate Me Now;Nas;hip hop;HIP HOP;I Am...;20
6nNNXGgKHD;6;Normal Girl;SZA;R&B;R&B;Ctrl;6
PaA281p1ET;8;The Chain - 2004 Remaster;Fleetwood Mac;Rock;ROCK;Rumours (Super Deluxe);55
PaA281p1ET;9;Some Nights;fun.;Rock;ROCK;Some nights;75
6nNNXGgKHD;5;Bulletproof Love;Pierce the Veil;Rock;ROCK;Selfish Machines;8
6nNNXGgKHD;4;Cinema;Harry Styles;Pop;POP;Harry's House;9
PaA281p1ET;10;Come On Eileen;Dexys Midnight Runners;Rock;ROCK;Too Rye Ay;40
6nNNXGgKHD;3;Baby;Charli xcx;Pop;POP;Crash;10
6nNNXGgKHD;2;Pier 4 ;Clairo;Indie;INDIE;Charm;11
6nNNXGgKHD;1;Yuck;Charli xcx;Pop;POP;Crash;12
9LUoQrt9I4;1;Brand New Numb;Motionless In white;Metal;METAL;Disguise ;100
9LUoQrt9I4;2;Stuck;Villain Of the Story;Metal;METAL;Bloodshot;80
9LUoQrt9I4;3;Doomed;I prevail;Metal;METAL;True Power;50
9LUoQrt9I4;4;All the ways I could Die;Arrows in Action;Rock;ROCK;Be More;30
U5rztaoXMY;1;Ma Meilleure Ennemie ;Pomme, Arcane, Stromae, League of Legends;EDM;EDM;Arcane League of Legends: Season 2;100
9LUoQrt9I4;5;Rats;Motionless In White;Metal;METAL;Graveyard Shift;65
U5rztaoXMY;2;her;JVKE;Alternative;ALTERNATIVE;her;10
U5rztaoXMY;3;Everything is romantic;Orchestra Club, Alina Kay;Pop;POP;Everything is romantic ;20
U5rztaoXMY;4;Would You Fall In Love With Me Again;Anna Lea, Jorge Rivera-Herrans;Musical;MUSICAL;EPIC: The Ithaca Saga (Official Concept Album);500
U5rztaoXMY;5;The Line ; Twenty One Pilots, Arcane, League of Legends;Alternative;ALTERNATIVE;Arcane League of Legends: Season 2;300
9LUoQrt9I4;7;All Squeezed Out;The Home Team;Rock;ROCK;The Crucible of Life;20
U5rztaoXMY;6;Eternity ;Alex Warren;Pop;POP;You'll Be Alright, Kid;50
9LUoQrt9I4;8;Perfect;My Darkest Days;Alternative;ALTERNATIVE;Sick and Twisted Affair;60
U5rztaoXMY;7;Rainy Day;Ice Nine Kills ;Metal;METAL;The Silver Scream 2: Welcome to Horrorwood;100
U5rztaoXMY;8;We'll Be Fine; Miguel Veloso, Teagan Earley, Jorge Rivera-Herrans;Musical;MUSICAL; EPIC: The Wisdom Saga (Official Concept Album);200
9LUoQrt9I4;9;Stop The World;Disaster Theory;Metal;METAL;Stop the World (Single);30
U5rztaoXMY;9;APOCALIPS;Ghosting Merit;Pop;POP;APOCALIPS;50
U5rztaoXMY;10;Running with the Wolves ;AURORA;Pop;POP;All My Demons Greeting Me as a Friend;75
9LUoQrt9I4;10;Unlikely ;Disaster Theory;Alternative;ALTERNATIVE;Unlikely (single);30
FVdkSwhAVU;1;Thorns of Crimson Death;Dissection;Metal;METAL;Storm of the Light's Bane;200
FVdkSwhAVU;2;Soulreaper;Dissection;Metal;METAL;Storm of the Light's Bane;200
FVdkSwhAVU;3;Raining Blood;Slayer;Metal;METAL;Reign in Blood;170
FVdkSwhAVU;4;Die By the Sword;Slayer;Metal;METAL;Show No Mercy;170
FVdkSwhAVU;5;War Ensemble;Slayer;Metal;METAL;Seasons in the Abyss;170
FVdkSwhAVU;6;Tsar Bomba;Necrophobic;Metal;METAL;Mark of the Necrogram;140
FVdkSwhAVU;7;Crawled From the Shadows;Deicide;Metal;METAL;Overtures of Blasphemy;185
FVdkSwhAVU;8;All That is Evil;Deicide;Metal;METAL;Overtures of Blasphemy;170
FVdkSwhAVU;9;Serpents of the Light;Deicide;Metal;METAL;Serpents of the Light;185
FVdkSwhAVU;10;Welcome to Hel;Rotting Christ;Metal;METAL;Kata Ton Daimona Eaytoy;140
hRqrQGesoM;1;At a Medium Pace;Adam Sandler;Comedy;COMEDY;They're All Gonna Laugh At You;46
hRqrQGesoM;2;Tremble of the Land and Sea - Lagiacrus;Yuko Komiyama;Classical;CLASSICAL;Monster Hunter 3 (tri) Original Soundtrack;75
hRqrQGesoM;3;Haus am See;Peter Fox;Pop;POP;Stadtaffe;20
d72tn8TW4r;1;Medium Pace; Adam Sandler;Pop;POP;They're all Gonna Laugh At You;26
d72tn8TW4r;2;Bullug Gegbug Ibgabiug Gixcure Dagabciea Fuic;KEYGEN CHURCH;Metal;METAL;‚ñà ‚ñì;14
hRqrQGesoM;4;Amish Paradise;"""Weird Al"" Yankovic";Comedy;COMEDY;Bad Hair Day;23
hRqrQGesoM;5;Mein Herz Brennt;Rammstein;Metal;METAL;Mutter;43
eYE2yurHtM;1;Duvet;Boa;Indie;INDIE;Twilight;750
eYE2yurHtM;2;Orange Moon;Erykah Badu;R&B;R&B;Mama's Gun;200
eYE2yurHtM;3;Place To Be;Nick Drake;Country;COUNTRY;Pink Moon;150
eYE2yurHtM;4;Didn't Cha Know;Erykah Badu;R&B;R&B;Mama's Gun;150
eYE2yurHtM;5;Ex-Factor;Ms. Lauryn Hill;R&B;R&B;The Miseducation of Lauryn Hill;200
eYE2yurHtM;6;Doo Wop (That Thing);Ms. Lauryn Hill;R&B;R&B;The Miseducation of Lauryn Hill;150
eYE2yurHtM;7;Show Me;Joey Bada$$;hip hop;HIP HOP;2000;100
eYE2yurHtM;8;Never Catch Me;Flying Lotus, Kendrick Lamar;hip hop;HIP HOP;You're Dead!;100
eYE2yurHtM;9;Only A Fool Would Say That;Steely Dan;Jazz;JAZZ;Can't Buy A Thrill;100
eYE2yurHtM;10;Grey Street;Dave Matthews Band;Rock;ROCK;Busted Stuff;75
d72tn8TW4r;3;Wolf Totem;The HU;Metal;METAL;None;17
hRqrQGesoM;6;Take Me Home, Country Roads;John Denver;Country;COUNTRY;Poems, Prayers, and Promises;30
d72tn8TW4r;4;Radioactive;Imagine Dragons;Pop;POP;Night Visions;37
hRqrQGesoM;7;Chinggis khaanii Magtaal;Batzorig Vaanchig;Miscellaneous;MISCELLANEOUS;n/a;37
hRqrQGesoM;8;All I Want for Christmas is You;Mariah Carey;Miscellaneous;MISCELLANEOUS;Merry Christmas;100
hRqrQGesoM;9;Bring Me To Life;Evanescence;Rock;ROCK;Fallen;35
hRqrQGesoM;10;Auf und auf voll Lebenslust;Franzl Lang;Miscellaneous;MISCELLANEOUS;single (n/a);19
d72tn8TW4r;6;Before He Cheats;Carrie Underwood;Country;COUNTRY;Some Hearts;9
d72tn8TW4r;7;Martin Luther King;Yuno Miles;hip hop;HIP HOP;None;23
d72tn8TW4r;8;Smoke on the Water;Deep Purple;Rock;ROCK;Machine Head;70
d72tn8TW4r;9;Death Roads;Doug Doug;Comedy;COMEDY;None;7
d72tn8TW4r;10;Fallen Kingdom;Captain Sparklez;Comedy;COMEDY;None;59
UXePdqNrOd;3;The Moss;Cosmo Sheldrake ;Indie;INDIE;Old Tunes EP;120
9gfr5JrPaC;5;Broken Vessel;Christopher Larkin;OST;OST;Hollow Knight Original Soundtrack;125
9gfr5JrPaC;4;Cogwork Dancers;Christopher Larkin;OST;OST;Hollow Knight: Silksong Official Soundtrack;30
